valuation,Rating year,Location,Suburb,Town/City,Total Rates
1486134000,2018,"""2 Sunglo Terrace, Otaki""",,,3280.59
1486134100,2018,"""40 Greenwood Boulevard, Otaki""",,,2714.68
1486134200,2018,"""38 Greenwood Boulevard, Otaki""",,,3006.46
1486134500,2018,"""156 Waitohu Valley Road, Otaki""",,,3905.96
1486134600,2018,"""172 Waitohu Valley Road, Otaki""",,,3326.82
1486134601,2018,"""166 Waitohu Valley Road, Otaki""",,,3122.44
1486134700,2018,"""174 Waitohu Valley Road, Otaki""",,,3295.11
1486134800,2018,"""180 Waitohu Valley Road, Otaki""",,,2783.61
1486135000,2018,"""190 Waitohu Valley Road, Otaki""",,,2753.32
1486135100,2018,"""Waitohu Valley Road, Otaki""",,,2650.71
1486135101,2018,"""196 Waitohu Valley Road, Otaki""",,,2365.14
1486135104,2018,"""192 Waitohu Valley Road, Otaki""",,,3142.13
1486135200,2018,"""202 Waitohu Valley Road, Otaki""",,,4761.79
1486135300,2018,"""234 Waitohu Valley Road, Otaki""",,,2282.24
1486135500,2018,"""244 Waitohu Valley Road, Otaki""",,,2011.32
1486135600,2018,"""258 Waitohu Valley Road, Otaki""",,,2743.1
1486135700,2018,"""278 Waitohu Valley Road, Otaki""",,,2364.18
1486135800,2018,"""330 Waitohu Valley Road, Otaki""",,,2577.96
1486135900,2018,"""316 & 344 Waitohu Valley Road, Otaki""",,,3435.55
1486140000,2018,"""91 Riverbank Road, Otaki""",,,3897.85
1486140200,2018,"""73 Riverbank Road, Otaki""",,,4407.15
1486140201,2018,"""61 Riverbank Road, Otaki""",,,2063.07
1486140202,2018,"""47 Riverbank Road, Otaki""",,,3807.07
1486140203,2018,"""83 Riverbank Road, Otaki""",,,4549.6
1486140204,2018,"""49 Riverbank Road, Otaki""",,,0
1486140300,2018,"""Riverbank Road, Otaki""",,,0
1486141000,2018,"""1300 State Highway 1 South, Otaki""",,,0
1486141000A,2018,"""State Highway 1 South, Otaki""",,,1783.62
1486141000B,2018,"""State Highway 1 South, Otaki""",,,0
1486141000C,2018,"""State Highway 1 South, Otaki""",,,0
1486141200,2018,"""150 Riverbank Road Extension, Otaki""",,,3189.21
1486141201,2018,"""124 Riverbank Road Extension, Otaki""",,,3441.39
1486141202,2018,"""144 Riverbank Road, Otaki""",,,2279.79
1486141300,2018,"""136 Riverbank Road Extension, Otaki""",,,2200.31
1486141400,2018,"""120 Riverbank Road Extension, Otaki""",,,3214.09
1486141500,2018,"""149 Rangiuru Road, Otaki""",,,2636.52
1486141501,2018,"""Rangiuru Road, Otaki""",,,0
1486141600,2018,"""112 Riverbank Road Extension, Otaki""",,,0
1486141600A,2018,"""112 Riverbank Road Extension, Otaki""",,,1939.18
1486141600B,2018,"""112 Riverbank Road Extension, Otaki""",,,70.09
1486141700,2018,"""115 Riverbank Road Extension, Otaki""",,,2449.97
1486141800,2018,"""123 Riverbank Road Extension, Otaki""",,,2093.72
1486141801,2018,"""141 Riverbank Road Extension, Otaki""",,,1979.62
1486141900,2018,"""114 Riverbank Road Extension, Otaki""",,,2266.85
1486142000,2018,"""116 Riverbank Road Extension, Otaki""",,,3409.26
1486142100,2018,"""Old Coach Road, Otaki""",,,0
1486142100A,2018,"""Old Coach Road, Otaki""",,,2025.8
1486142100B,2018,"""Old Coach Road, Otaki""",,,289.94
1486142500,2018,"""Rangiuru Road, Otaki""",,,0
1486142600,2018,"""Rangiuru Road, Otaki""",,,0
1486150047,2018,"""State Highway 1 South, Otaki""",,,754.98
1486150054,2018,"""State Highway 1 South, Otaki""",,,0
1486150054A,2018,"""State Highway 1 South, Otaki""",,,923.39
1486150054B,2018,"""State Highway 1 South, Otaki""",,,2219.19
1486150054C,2018,"""State Highway 1 South, Otaki""",,,0
1486150056,2018,"""141 Otaki Gorge Road, Otaki""",,,3116.38
1486150500,2018,"""72 Te Manuao Road, Otaki""",,,2372.16
1486150501,2018,"""77 Waitohu Valley Road, Otaki""",,,2977.86
1486150700,2018,"""71 Te Manuao Road, Otaki""",,,5596.69
1486150701,2018,"""75-75A Te Manuao Road, Otaki""",,,3886.71
1486150800,2018,"""145 Waitohu Valley Road, Otaki""",,,2143.17
1486150900,2018,"""151 Waitohu Valley Road, Otaki""",,,1978.47
1486151000,2018,"""163 Waitohu Valley Road, Otaki""",,,3863.03
1486151001,2018,"""177 Waitohu Valley Road, Otaki""",,,3491.7
1486151100,2018,"""185 Waitohu Valley Road, Otaki""",,,3929.12
1486151200,2018,"""207 Waitohu Valley Road, Otaki""",,,2506.98
1486151500,2018,"""215 Waitohu Valley Road, Otaki""",,,2539.01
1486151600,2018,"""225 Waitohu Valley Road, Otaki""",,,2635.19
1486151700,2018,"""227-231 Waitohu Valley Road, Otaki""",,,2773.68
